Year,Liver cancer ,Kidney cancer ,Larynx cancer ,Breast cancer ,Thyroid cancer ,Stomach cancer ,Bladder cancer ,Uterine cancer ,Ovarian cancer ,Cervical cancer ,Prostate cancer ,Pancreatic cancer ,Esophageal cancer ,Testicular cancer ,Nasopharynx cancer ,Other pharynx cancer ,Colon and rectum cancer ,Non-melanoma skin cancer ,Lip and oral cavity cancer ,Brain and nervous system cancer ,"Tracheal, bronchus, and lung cancer ",Gallbladder and biliary tract cancer ,Malignant skin melanoma ,Leukemia ,Hodgkin lymphoma ,Multiple myeloma ,Other cancers 
1990,2995.515782,867.8599696,765.0077935,2724.878622,298.4228864,4744.01416,564.9651837,447.9156049,870.2880971,4840.65381,2684.213901,2113.029413,738.9534155,225.868731,151.4330608,185.1097572,2319.648481,564.8037825,465.8092882,1116.880239,5477.606751,1768.059296,222.8305588,3532.233529,548.1425904,449.773965,2874.43961
1991,3072.58622,903.7797285,776.5702739,2809.647007,307.123194,4790.929623,571.9818275,437.9513665,900.4790533,4807.227925,2788.528347,2177.598542,741.564511,232.0666773,151.6236539,184.4485923,2369.54361,584.3506806,471.7979339,1172.299402,5612.037783,1784.241749,233.922455,3613.856407,544.5530865,463.8350148,2979.954364
1992,3194.398432,947.317928,796.1093148,2962.225256,317.819145,4918.884853,596.3457939,441.5546027,936.812629,4883.550559,2909.55912,2268.519189,755.8686637,246.0886827,154.2891101,188.3026948,2471.670705,601.1517531,483.7993289,1237.082516,5826.28044,1818.529962,249.5290551,3691.647815,537.3327759,489.028224,3085.236572
1993,3318.471538,977.5904357,809.7885695,3120.512695,331.8764905,5045.802707,608.5297727,442.2655213,973.9989387,4957.831655,3056.440966,2358.226066,773.220332,253.8767705,155.9935655,191.5060011,2583.209711,612.7630186,497.4654977,1292.072081,6036.566757,1863.666325,264.9748397,3777.454128,531.9858692,511.5430294,3200.535106
1994,3431.584846,1018.196197,818.5973111,3241.373247,338.3642095,5112.553532,627.5632864,444.362577,1021.193468,4965.159783,3215.757716,2440.048656,779.493261,256.0327,158.7505546,194.394392,2684.003616,626.5846151,511.5791182,1335.147547,6203.391357,1896.004735,281.2174765,3859.523982,515.1425321,532.8938414,3304.812945
1995,3576.949056,1079.98015,827.9988071,3415.637085,353.4142191,5212.752994,643.3959511,446.0267991,1067.658828,5036.761615,3353.310623,2539.705369,802.7118474,268.5121421,160.284578,198.1342243,2791.893415,658.2474749,519.0154927,1388.34758,6372.230116,1955.589315,302.7731247,3972.769426,509.5022622,555.0634547,3422.2204
1996,3685.493586,1128.591053,847.9542904,3513.607071,370.749104,5269.080807,662.1455567,446.9984148,1113.113464,5024.18479,3483.799609,2608.305396,807.8967641,277.7871736,163.6941437,200.1532597,2902.183945,673.6103664,531.9541526,1439.893927,6427.327966,1961.857292,315.5559243,4071.050488,505.4124689,583.0233642,3520.385712
1997,3817.885034,1192.982877,873.6182661,3658.819171,382.2654845,5347.872354,679.721991,453.8021883,1159.391509,5046.609719,3638.7646,2678.545278,811.9136374,296.346407,165.8760608,202.2197559,3060.263179,700.8490357,548.8548726,1515.359484,6599.432588,1978.766988,337.1709009,4203.096943,499.9269929,610.8619693,3657.646321
1998,3930.038508,1249.951092,891.970419,3802.200673,389.5687511,5460.84003,709.8819563,463.9787713,1208.333558,5047.215468,3794.623809,2767.322441,823.3663797,311.4724671,172.1078156,209.2724064,3259.475219,722.580679,563.784355,1584.782367,6716.166865,2001.371851,354.5102966,4372.308612,495.0872195,646.1675007,3776.587201
1999,4002.017517,1293.768844,885.9508731,3903.471869,401.9847443,5510.049657,731.483897,470.2559742,1252.046297,4993.20327,3914.229965,2830.397778,827.4679256,307.9855236,174.8572274,209.2457944,3400.454414,730.4139351,577.1957179,1637.369579,6720.453596,1992.934372,367.4162879,4436.796157,476.9809775,663.7714045,3873.366201
2000,4118.375527,1332.759902,883.7524583,3927.827706,406.2963145,5488.846339,743.0979556,469.9170963,1292.710277,4842.031827,4027.650111,2897.802523,838.6683408,310.7066679,175.2937421,214.7884296,3504.738252,747.9894539,589.42277,1682.877141,6696.652587,1963.091527,379.6177512,4489.415688,464.8179783,685.5387138,3931.331498
2001,4217.979234,1391.091594,878.3252443,4051.140928,418.5407358,5525.126136,767.4219177,481.7168998,1353.286755,4761.600821,4136.788429,2975.173011,851.6239489,309.0878398,177.9933535,218.3101603,3639.621336,759.5834732,606.7410321,1733.695483,6729.51276,1966.898774,393.2717739,4524.030616,455.9650374,704.9426406,4005.976662
2002,4374.460978,1450.868659,902.8989692,4250.824326,442.6938935,5676.709242,793.7498499,497.6999716,1421.905753,4735.459529,4314.02545,3077.412545,875.33786,318.6109376,181.9134383,224.6648447,3834.240202,782.3992791,628.5961252,1794.597914,6915.995188,1996.18791,408.8054914,4611.293603,461.962036,738.1684761,4100.692257
2003,4538.172425,1529.23058,907.7735079,4433.20492,458.9693436,5834.036517,824.8145293,516.8833035,1490.411475,4734.224464,4519.199625,3182.947058,913.6525323,326.8543388,185.772066,224.785798,4065.089451,809.3870859,648.536717,1850.54602,7072.815396,2014.085214,423.3774492,4689.336444,467.4830039,771.0006484,4248.013158
2004,4645.880612,1577.588236,898.9663392,4549.430018,471.800877,5868.03103,860.4327032,529.8640006,1548.222153,4642.45112,4635.777194,3279.466139,921.1820465,329.9754505,186.9169631,231.6678272,4217.492602,820.7875763,663.1393381,1898.344491,7097.696918,2007.71131,434.8257191,4705.050367,457.9558423,797.3233036,4355.381031
2005,4795.449008,1653.021292,910.0447016,4769.103683,497.6876598,6059.263794,905.2308164,557.8583592,1627.298182,4675.089644,4843.874244,3404.646756,956.5434723,346.4887705,192.7041828,240.517297,4491.410792,857.0736724,687.1284955,1949.391397,7295.835659,2032.381598,459.893367,4791.091942,464.1769134,838.5420697,4524.679332
2006,4879.026549,1710.090217,901.78014,4888.145737,512.1639699,6074.26898,948.1854735,571.8572242,1695.765994,4587.01796,4959.102448,3492.243896,975.3152122,358.3983505,195.0612322,242.8123337,4654.601384,876.6877536,697.3248481,1984.357889,7201.171839,1990.459904,475.2617756,4803.371189,471.4467033,862.9504784,4651.635707
2007,4930.617267,1777.960279,893.7146751,5010.875236,525.8684554,6114.424483,994.4170086,591.9199231,1759.531736,4515.483949,5107.54142,3600.856378,993.4972865,371.8865063,199.2479491,245.0037016,4857.502782,889.5026201,703.4839047,2019.717658,7134.16011,1957.619795,494.7383984,4843.056304,477.4193528,888.0935171,4790.537275
2008,5133.843417,1863.559355,931.4113492,5293.18942,551.8870235,6408.98414,1050.909815,632.1448733,1843.037687,4584.710166,5394.119145,3760.743196,1035.40828,404.6248106,209.2296339,253.6057184,5231.493593,936.9367492,732.3078085,2091.202126,7356.270666,1997.768147,524.24432,4969.071283,501.1328411,942.0196598,5015.281058
2009,5338.073713,1945.501147,936.1272384,5610.690093,587.5966137,6635.083161,1086.154448,681.4022458,1943.117071,4725.54621,5602.151639,3895.076349,1070.878433,443.5870967,217.6336745,260.7946114,5530.326814,980.9643708,761.2570895,2160.392109,7457.153413,2044.600911,550.3509448,5117.706893,524.8116913,985.5414142,5196.768921
2010,5463.009985,2039.560865,940.7610928,5660.697194,608.2226913,6720.840806,1117.438759,703.5543096,2009.594308,4618.269624,5848.014136,3981.597594,1100.663645,468.7792375,223.110276,262.7850723,5761.774611,1015.134221,789.6351099,2215.801325,7496.590945,2048.491603,575.0078217,5149.660124,533.5407971,1025.450047,5364.352801
2011,5596.920415,2112.934219,933.4022187,5745.365521,621.7379111,6731.555805,1151.04122,717.8837908,2085.27123,4553.464104,6025.537105,4058.442942,1116.134333,486.26683,225.6285656,268.6819814,5950.607999,1036.919321,804.3747948,2248.907226,7508.335423,2043.18144,593.5940919,5156.262555,531.4926743,1060.323369,5502.042161
2012,5783.349477,2179.832571,945.5559858,5998.7974,647.4256854,6844.78354,1180.07975,756.8186792,2172.108252,4589.280399,6233.669191,4184.854513,1152.819366,499.0540922,229.7321068,275.3814525,6230.438111,1071.436768,832.825369,2299.205404,7603.165121,2090.300248,620.5839978,5192.452646,532.8714262,1108.203776,5669.724484
2013,6049.251239,2295.980212,977.0309384,6335.127044,684.107874,7139.124818,1221.952599,810.2699343,2285.542558,4737.208584,6536.534745,4347.306501,1199.384902,517.3659736,237.0172328,284.1618394,6649.590435,1119.589698,864.4636613,2371.226342,7905.750272,2180.722316,652.038866,5283.658913,549.8967101,1172.608601,5887.100485
2014,6263.177477,2393.296205,976.9318115,6610.387303,708.5958622,7296.696045,1263.015852,848.920009,2391.336738,4830.656246,6755.183839,4484.906065,1229.304316,525.3708464,239.9590358,292.28682,6904.550465,1151.204107,893.6636333,2432.958842,8056.332637,2248.593038,682.2212655,5339.029466,555.1542582,1212.364144,6114.534874
2015,6435.205732,2465.949801,981.0240711,6695.789585,722.8832093,7334.659334,1288.16365,864.1871631,2463.15687,4781.4675,6953.299749,4603.875613,1252.324343,526.735516,242.9120156,299.5395985,7056.793666,1176.785834,912.3427871,2489.150714,8162.953063,2261.288954,705.7186717,5332.748607,553.1500771,1250.363144,6247.44723
2016,6716.516532,2540.886393,1011.282839,6848.454072,734.650355,7493.750048,1336.498907,872.2910419,2518.115909,4897.989789,7261.213323,4790.708449,1299.670238,526.2766833,251.5385611,309.6435308,7171.145701,1215.749883,940.3406712,2551.892504,8469.498356,2343.477139,730.2456854,5400.208474,557.6735731,1297.017501,6357.961537
